Damage,GammaDist,Probability,Percentile,DPS,Damage,Normal,Percentile
5555418,8.84724E-07,8.84724E-07,0.039035292,11680.86,5555418,8.8551E-07,0.040059157
5556393,9.00621E-07,9.00621E-07,0.039905029,11682.91,5556393,9.01098E-07,0.040929509
5557367,9.16706E-07,9.16706E-07,0.040790346,11684.96,5557367,9.16868E-07,0.041815138
5558341,9.3298E-07,9.3298E-07,0.041691427,11687.01,5558341,9.32821E-07,0.042716221
5559316,9.49441E-07,9.49441E-07,0.042608455,11689.06,5559316,9.48957E-07,0.043632937
5560290,9.66091E-07,9.66091E-07,0.043541614,11691.11,5560290,9.65275E-07,0.044565463
5561264,9.82928E-07,9.82928E-07,0.044491087,11693.15,5561264,9.81776E-07,0.045513977
5562239,9.99953E-07,9.99953E-07,0.045457055,11695.2,5562239,9.98459E-07,0.046478658
5563213,1.01716E-06,1.01716E-06,0.046439703,11697.25,5563213,1.01532E-06,0.047459682
5564187,1.03456E-06,1.03456E-06,0.047439212,11699.3,5564187,1.03237E-06,0.048457226
5565162,1.05215E-06,1.05215E-06,0.048455763,11701.35,5565162,1.0496E-06,0.049471468
5566136,1.06992E-06,1.06992E-06,0.049489538,11703.4,5566136,1.06701E-06,0.050502583
5567110,1.08787E-06,1.08787E-06,0.050540717,11705.45,5567110,1.0846E-06,0.051550748
5568085,1.10601E-06,1.10601E-06,0.051609481,11707.49,5568085,1.10237E-06,0.052616138
5569059,1.12434E-06,1.12434E-06,0.052696008,11709.54,5569059,1.12031E-06,0.053698928
5570033,1.14284E-06,1.14284E-06,0.053800478,11711.59,5570033,1.13844E-06,0.054799292
5571008,1.16153E-06,1.16153E-06,0.054923067,11713.64,5571008,1.15674E-06,0.055917403
5571982,1.1804E-06,1.1804E-06,0.056063953,11715.69,5571982,1.17522E-06,0.057053433
5572956,1.19945E-06,1.19945E-06,0.057223311,11717.74,5572956,1.19388E-06,0.058207556
5573930,1.21868E-06,1.21868E-06,0.058401316,11719.79,5573930,1.21271E-06,0.059379941
5574905,1.23808E-06,1.23808E-06,0.059598142,11721.84,5574905,1.23172E-06,0.060570758
5575879,1.25766E-06,1.25766E-06,0.060813961,11723.88,5575879,1.25089E-06,0.061780177
5576853,1.27742E-06,1.27742E-06,0.062048944,11725.93,5576853,1.27024E-06,0.063008364
5577828,1.29735E-06,1.29735E-06,0.063303262,11727.98,5577828,1.28976E-06,0.064255488
5578802,1.31745E-06,1.31745E-06,0.064577082,11730.03,5578802,1.30945E-06,0.065521712
5579776,1.33773E-06,1.33773E-06,0.065870571,11732.08,5579776,1.32931E-06,0.066807201
5580751,1.35817E-06,1.35817E-06,0.067183896,11734.13,5580751,1.34933E-06,0.068112118
5581725,1.37878E-06,1.37878E-06,0.06851722,11736.18,5581725,1.36952E-06,0.069436623
5582699,1.39955E-06,1.39955E-06,0.069870704,11738.22,5582699,1.38987E-06,0.070780877
5583674,1.42049E-06,1.42049E-06,0.07124451,11740.27,5583674,1.41038E-06,0.072145037
5584648,1.44159E-06,1.44159E-06,0.072638796,11742.32,5584648,1.43105E-06,0.07352926
5585622,1.46285E-06,1.46285E-06,0.074053718,11744.37,5585622,1.45188E-06,0.0749337
5586597,1.48427E-06,1.48427E-06,0.075489431,11746.42,5586597,1.47286E-06,0.07635851
5587571,1.50584E-06,1.50584E-06,0.076946088,11748.47,5587571,1.494E-06,0.077803841
5588545,1.52757E-06,1.52757E-06,0.078423838,11750.52,5588545,1.51529E-06,0.079269841
5589520,1.54945E-06,1.54945E-06,0.07992283,11752.56,5589520,1.53673E-06,0.080756659
5590494,1.57147E-06,1.57147E-06,0.08144321,11754.61,5590494,1.55832E-06,0.082264439
5591468,1.59364E-06,1.59364E-06,0.082985121,11756.66,5591468,1.58005E-06,0.083793322
5592443,1.61596E-06,1.61596E-06,0.084548704,11758.71,5592443,1.60193E-06,0.085343451
5593417,1.63841E-06,1.63841E-06,0.086134097,11760.76,5593417,1.62394E-06,0.086914962
5594391,1.66101E-06,1.66101E-06,0.087741437,11762.81,5594391,1.6461E-06,0.088507991
5595366,1.68373E-06,1.68373E-06,0.089370857,11764.86,5595366,1.66839E-06,0.090122672
5596340,1.7066E-06,1.7066E-06,0.091022486,11766.9,5596340,1.69081E-06,0.091759136
5597314,1.72959E-06,1.72959E-06,0.092696452,11768.95,5597314,1.71336E-06,0.093417509
5598289,1.7527E-06,1.7527E-06,0.09439288,11771,5598289,1.73604E-06,0.095097918
5599263,1.77594E-06,1.77594E-06,0.096111892,11773.05,5599263,1.75885E-06,0.096800485
5600237,1.7993E-06,1.7993E-06,0.097853605,11775.1,5600237,1.78177E-06,0.098525329
5601212,1.82278E-06,1.82278E-06,0.099618136,11777.15,5601212,1.80482E-06,0.100272568
5602186,1.84637E-06,1.84637E-06,0.101405597,11779.2,5602186,1.82797E-06,0.102042315
5603160,1.87007E-06,1.87007E-06,0.103216095,11781.25,5603160,1.85124E-06,0.103834681
5604135,1.89388E-06,1.89388E-06,0.105049738,11783.29,5604135,1.87462E-06,0.105649774
5605109,1.91779E-06,1.91779E-06,0.106906626,11785.34,5605109,1.89811E-06,0.107487697
5606083,1.94179E-06,1.94179E-06,0.108786858,11787.39,5606083,1.9217E-06,0.109348552
5607058,1.9659E-06,1.9659E-06,0.11069053,11789.44,5607058,1.94538E-06,0.111232437
5608032,1.99009E-06,1.99009E-06,0.112617732,11791.49,5608032,1.96916E-06,0.113139446
5609006,2.01438E-06,2.01438E-06,0.114568552,11793.54,5609006,1.99303E-06,0.11506967
5609980,2.03875E-06,2.03875E-06,0.116543073,11795.59,5609980,2.01699E-06,0.117023196
5610955,2.06319E-06,2.06319E-06,0.118541376,11797.63,5610955,2.04104E-06,0.119000108
5611929,2.08772E-06,2.08772E-06,0.120563536,11799.68,5611929,2.06516E-06,0.121000484
5612903,2.11231E-06,2.11231E-06,0.122609625,11801.73,5612903,2.08936E-06,0.123024403
5613878,2.13698E-06,2.13698E-06,0.124679711,11803.78,5613878,2.11363E-06,0.125071936
5614852,2.1617E-06,2.1617E-06,0.126773857,11805.83,5614852,2.13797E-06,0.127143151
5615826,2.18649E-06,2.18649E-06,0.128892123,11807.88,5615826,2.16238E-06,0.129238112
5616801,2.21132E-06,2.21132E-06,0.131034564,11809.93,5616801,2.18684E-06,0.131356881
5617775,2.23621E-06,2.23621E-06,0.133201231,11811.97,5617775,2.21136E-06,0.133499513
5618749,2.26115E-06,2.26115E-06,0.135392169,11814.02,5618749,2.23593E-06,0.135666061
5619724,2.28612E-06,2.28612E-06,0.137607422,11816.07,5619724,2.26055E-06,0.137856572
5620698,2.31113E-06,2.31113E-06,0.139847025,11818.12,5620698,2.28521E-06,0.14007109
5621672,2.33617E-06,2.33617E-06,0.142111013,11820.17,5621672,2.30991E-06,0.142309654
5622647,2.36124E-06,2.36124E-06,0.144399412,11822.22,5622647,2.33464E-06,0.1445723
5623621,2.38633E-06,2.38633E-06,0.146712247,11824.27,5623621,2.3594E-06,0.146859056
5624595,2.41144E-06,2.41144E-06,0.149049536,11826.31,5624595,2.38419E-06,0.14916995
5625570,2.43656E-06,2.43656E-06,0.151411292,11828.36,5625570,2.40899E-06,0.151505003
5626544,2.46168E-06,2.46168E-06,0.153797526,11830.41,5626544,2.43381E-06,0.15386423
5627518,2.48681E-06,2.48681E-06,0.15620824,11832.46,5627518,2.45864E-06,0.156247645
5628493,2.51193E-06,2.51193E-06,0.158643434,11834.51,5628493,2.48347E-06,0.158655254
5629467,2.53704E-06,2.53704E-06,0.161103102,11836.56,5629467,2.50831E-06,0.16108706
5630441,2.56214E-06,2.56214E-06,0.163587233,11838.61,5630441,2.53314E-06,0.163543059
5631416,2.58722E-06,2.58722E-06,0.16609581,11840.66,5631416,2.55796E-06,0.166023246
